   Vx       Vy       Vz      |V|    
-399.57   -6.43    -15.27   399.91 
-399.57   -6.43    -15.27   399.91 
-399.86   -10.84   -15.87   400.32 
-399.86   -10.84   -15.87   400.32 
-399.86   -10.84   -15.87   400.32 
-399.86   -10.84   -15.87   400.32 
-400.12   -5.24    -15.10   400.44 
-396.83   -0.20    -16.96   397.19 
-393.53    4.84    -18.81   394.01 
-390.24    9.88    -20.67   390.91 
-386.94   14.92    -22.52   387.88 
-386.94   14.92    -22.52   387.88 
-386.94   14.92    -22.52   387.88 
-386.94   14.92    -22.52   387.88 
-389.34    7.91    -24.08   390.16 
-389.34    7.91    -24.08   390.16 
-389.34    7.91    -24.08   390.16 
-389.34    7.91    -24.08   390.16 
-390.33    5.87    -21.57   390.97 
-390.33    5.87    -21.57   390.97 
-390.33    5.87    -21.57   390.97 
-390.33    5.87    -21.57   390.97 
-392.47   -3.34    -13.88   392.73 
-392.34   -4.27    -15.08   392.65 
-392.20   -5.20    -16.28   392.57 
-392.07   -6.13    -17.48   392.51 
-391.94   -7.06    -18.68   392.45 
-391.46   -7.55    -17.96   391.94 
-390.98   -8.05    -17.24   391.44 
-390.50   -8.55    -16.52   390.94 
-390.02   -9.05    -15.80   390.44 
-389.84   -9.78    -16.26   390.30 
-389.65   -10.51   -16.73   390.15 
-389.46   -11.23   -17.20   390.00 
-389.28   -11.96   -17.67   389.86 
-389.28   -11.96   -17.67   389.86 
-389.28   -11.96   -17.67   389.86 
-389.28   -11.96   -17.67   389.86 
-393.14   -13.14   -18.27   393.78 
-393.14   -13.14   -18.27   393.78 
-393.14   -13.14   -18.27   393.78 
-393.14   -13.14   -18.27   393.78 
-396.18   -8.14    -16.06   396.59 
-395.83   -8.29    -16.49   396.26 
-395.48   -8.44    -16.91   395.93 
-395.13   -8.58    -17.34   395.60 
-394.78   -8.73    -17.77   395.28 
-394.06   -8.61    -17.15   394.53 
-393.34   -8.49    -16.53   393.78 
-392.61   -8.37    -15.90   393.02 
-391.89   -8.24    -15.28   392.27 
-391.89   -8.24    -15.28   392.27 
-391.89   -8.24    -15.28   392.27 
-391.89   -8.24    -15.28   392.27 
-393.92   -7.80    -16.49   394.34 
-393.02   -8.11    -15.55   393.41 
-392.12   -8.42    -14.60   392.48 
-391.22   -8.73    -13.66   391.56 
-390.32   -9.04    -12.72   390.63 
-390.32   -9.04    -12.72   390.63 
-390.32   -9.04    -12.72   390.63 
-390.32   -9.04    -12.72   390.63 
-392.23   -4.17    -15.21   392.55 
-392.23   -4.17    -15.21   392.55 
-392.23   -4.17    -15.21   392.55 
-392.23   -4.17    -15.21   392.55 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-412.57   -13.86   36.61    414.42 
-421.09   -10.30   50.07    424.18 
-421.09   -10.30   50.07    424.18 
-421.09   -10.30   50.07    424.18 
-421.09   -10.30   50.07    424.18 
-427.05   -4.68    47.79    429.74 
-425.35   -5.34    50.16    428.33 
-423.64   -6.01    52.53    426.93 
-421.94   -6.67    54.90    425.55 
-420.23   -7.34    57.28    424.18 
-420.23   -7.34    57.28    424.18 
-420.23   -7.34    57.28    424.18 
-420.23   -7.34    57.28    424.18 
-429.47   -9.35    60.16    433.76 
-422.92   -8.96    53.14    426.34 
-416.38   -8.57    46.13    419.02 
-409.83   -8.18    39.11    411.77 
-403.28   -7.79    32.10    404.63 
-401.70   -8.53    30.71    402.96 
-400.12   -9.28    29.32    401.30 
-398.54   -10.02   27.93    399.64 
-396.96   -10.77   26.54    397.99 
-396.96   -10.77   26.54    397.99 
-396.96   -10.77   26.54    397.99 
-396.96   -10.77   26.54    397.99 
-414.18   -12.74   42.55    416.55 
-414.18   -12.74   42.55    416.55 
-414.18   -12.74   42.55    416.55 
-414.18   -12.74   42.55    416.55 
-419.91   -5.66    49.37    422.84 
-417.78   -7.84    42.96    420.06 
-415.65   -10.02   36.55    417.37 
-413.53   -12.20   30.15    414.81 
-411.40   -14.38   23.74    412.34 
-409.81   -14.45   21.38    410.62 
-408.23   -14.52   19.01    408.93 
-406.64   -14.59   16.65    407.24 
-405.05   -14.66   14.29    405.57 
-405.05   -14.66   14.29    405.57 
-405.05   -14.66   14.29    405.57 
-405.05   -14.66   14.29    405.57 
-407.17   -15.46   16.32    407.79 
-406.41   -15.11   17.12    407.05 
-405.65   -14.76   17.92    406.31 
-404.89   -14.42   18.73    405.58 
-404.13   -14.07   19.53    404.85 
-402.95   -13.67   20.06    403.68 
-401.78   -13.28   20.58    402.53 
-400.61   -12.88   21.10    401.37 
-399.44   -12.49   21.62    400.22 
-399.06   -12.36   21.96    399.85 
-398.68   -12.24   22.30    399.49 
-398.31   -12.12   22.64    399.14 
-397.93   -11.99   22.99    398.77 
-397.70   -11.77   21.51    398.46 
-397.47   -11.54   20.04    398.14 
-397.24   -11.31   18.57    397.83 
-397.01   -11.08   17.10    397.53 
-397.01   -11.08   17.10    397.53 
-397.01   -11.08   17.10    397.53 
-397.01   -11.08   17.10    397.53 
-401.11   -12.76   19.85    401.80 
-401.11   -12.76   19.85    401.80 
-401.11   -12.76   19.85    401.80 
